src_file,stamp,gpu,sm_count,clock_ghz,round,shape,M,N,K,kernel,iters,ms,gflops,pct_peak,ai,roofline_gflops,roofline_pct,load_per_fma,dist,bcast,ldg,req_per_fma,beat,cyc_per_load,model_pred,model_note,regs,barriers,smem_bytes,spill_bytes,occ_pct,blocks_per_sm,threads_per_block,block_x,block_y,grid_x,grid_y,footprint_mb,verified,ms_spread_pct,rounds
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),decode-b32,32,18944,3584,k2,5,1.071,4057.2,4.9,0.25,252.0,1605.7,2.0,0.0,0.0,2.0,2.0,5.1,2.55,3.78,,,,0,,66.7,1,1024,32,32,592,1,274.5,1,0.28,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),decode-b32,32,18944,3584,k3,11,0.853,5094.1,6.2,7.964,8029.0,63.7,2.062,1.0,1.0,0.062,,4.03,1.96,3.26,,,,8192,,66.7,1,1024,32,32,592,1,274.5,1,0.59,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),decode-b32,32,18944,3584,k3c,11,1.327,3274.5,3.97,12.709,12812.0,25.6,2.039,1.0,1.0,0.039,,6.3,3.09,3.21,,,,8192,,66.7,1,1024,32,32,148,1,274.5,1,0.15,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),decode-b32,32,18944,3584,k4,11,0.305,14246.9,17.28,7.964,8029.0,177.7,1.188,0.125,1.0,0.062,,1.45,1.22,0.97,,,,8192,,75.0,9,128,32,4,592,1,274.5,1,0.33,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),decode-b32,32,18944,3584,k5,11,0.343,12668.5,15.31,12.709,12812.0,98.7,0.414,0.125,0.25,0.039,,1.63,3.94,0.53,,,,20480,,33.3,4,128,32,4,148,1,274.5,1,0.58,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),decode-b32,32,18944,3584,k6,11,0.321,13536.8,16.39,12.709,12812.0,105.7,0.104,0.031,0.062,0.01,,1.52,14.73,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,,,20480,,33.3,4,128,32,4,148,1,274.5,1,0.0,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),prefill,2048,18944,3584,k0,11,5.003,55586.5,67.36,,,,,,,,,,,,,,,,,,,,,,,,456.1,1,0.12,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),prefill,2048,18944,3584,k1,3,431.083,645.1,0.78,0.25,252.0,256.0,2.0,0.0,0.0,2.0,33.0,32.0,16.0,3.78,,,,0,,66.7,1,1024,32,32,64,592,456.1,1,0.17,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),prefill,2048,18944,3584,k2,5,60.884,4567.7,5.53,0.25,252.0,1812.6,2.0,0.0,0.0,2.0,2.0,4.52,2.26,3.78,,,,0,,66.7,1,1024,32,32,592,64,456.1,1,0.04,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),prefill,2048,18944,3584,k3,11,47.896,5806.3,7.03,7.964,8029.0,72.3,2.062,1.0,1.0,0.062,,3.56,1.73,3.26,,,,8192,,66.7,1,1024,32,32,592,64,456.1,1,0.9,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),prefill,2048,18944,3584,k3c,11,48.072,5785.1,7.01,12.709,12812.0,45.2,2.039,1.0,1.0,0.039,,3.57,1.75,3.21,,,,8192,,66.7,1,1024,32,32,148,64,456.1,1,0.27,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),prefill,2048,18944,3584,k4,11,19.604,14185.8,17.18,7.964,8029.0,176.7,1.188,0.125,1.0,0.062,,1.46,1.23,0.97,,,,8192,,75.0,9,128,32,4,592,64,456.1,1,0.04,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),prefill,2048,18944,3584,k5,11,13.296,20916.0,25.1,12.709,12812.0,161.8,0.414,0.125,0.25,0.039,,1.0,2.41,0.53,,,,20480,,33.3,4,128,32,4,148,64,456.1,1,2.08,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),prefill,2048,18944,3584,k6,11,8.761,31742.9,38.44,12.709,12812.0,247.8,0.104,0.031,0.062,0.01,,0.65,6.28,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,,,20480,,33.3,4,128,32,4,148,64,456.1,1,1.68,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),方阵基准,4096,4096,4096,k0,11,2.39,57505.8,69.64,,,,,,,,,,,,,,,,,,,,,,,,201.3,1,0.21,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),方阵基准,4096,4096,4096,k1,3,211.995,648.3,0.79,0.25,252.0,257.3,2.0,0.0,0.0,2.0,33.0,31.84,15.92,3.78,,,,0,,66.7,1,1024,32,32,128,128,201.3,1,0.01,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),方阵基准,4096,4096,4096,k2,5,25.837,5319.5,6.44,0.25,252.0,2111.0,2.0,0.0,0.0,2.0,2.0,3.88,1.94,3.78,,,,0,,66.7,1,1024,32,32,128,128,201.3,1,0.06,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),方阵基准,4096,4096,4096,k3,11,22.285,6167.3,7.47,7.969,8033.0,76.8,2.062,1.0,1.0,0.062,,3.35,1.62,3.26,,,,8192,,66.7,1,1024,32,32,128,128,201.3,1,0.09,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),方阵基准,4096,4096,4096,k3c,11,20.581,6678.0,8.1,12.72,12823.0,52.2,2.039,1.0,1.0,0.039,,3.09,1.51,3.21,,,,8192,,66.7,1,1024,32,32,32,128,201.3,1,0.2,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),方阵基准,4096,4096,4096,k4,11,6.595,20839.9,25.23,7.969,8033.0,259.3,1.188,0.125,1.0,0.062,,0.99,0.83,0.97,,,,8192,,75.0,9,128,32,4,128,128,201.3,1,0.12,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),方阵基准,4096,4096,4096,k5,11,3.977,34558.4,41.89,12.72,12823.0,269.7,0.414,0.125,0.25,0.039,,0.6,1.44,0.53,,,,20480,,33.3,4,128,32,4,32,128,201.3,1,0.2,3
shapes_20260924_180619.txt,20260924_180619,NVIDIA GeForce RTX 4090,128,2.52,med(3),方阵基准,4096,4096,4096,k6,11,3.343,41112.5,49.79,12.72,12823.0,320.6,0.104,0.031,0.062,0.01,,0.5,4.85,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,,,20480,,33.3,4,128,32,4,32,128,201.3,1,0.3,3
